neighbourhood_group,room_type,minimum_nights,price
Manhattan,Private room,30,114.0
Manhattan,Private room,90,65.0
Brooklyn,Entire home/apt,30,245.0
Brooklyn,Private room,7,143.0
Brooklyn,Private room,30,80.0
Manhattan,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,342.0
Manhattan,Private room,30,139.0
Manhattan,Private room,30,68.0
Brooklyn,Entire home/apt,30,239.0
Brooklyn,Private room,30,69.0
Brooklyn,Private room,30,72.0
Manhattan,Entire home/apt,30,185.0
Brooklyn,Entire home/apt,30,230.0
Manhattan,Entire home/apt,30,433.0
Manhattan,Entire home/apt,30,234.0
Brooklyn,Entire home/apt,30,128.0
Manhattan,Entire home/apt,30,500.0
Brooklyn,Entire home/apt,30,180.0
Brooklyn,Entire home/apt,30,150.0
Bronx,Private room,30,94.0
Brooklyn,Entire home/apt,30,190.0
Manhattan,Entire home/apt,30,273.0
Brooklyn,Private room,1,129.0
Manhattan,Entire home/apt,30,332.0
Manhattan,Entire home/apt,30,125.0
Brooklyn,Entire home/apt,30,89.0
Manhattan,Entire home/apt,31,160.0
Bronx,Private room,30,72.0
Brooklyn,Entire home/apt,30,109.0
Brooklyn,Entire home/apt,30,120.0
Brooklyn,Entire home/apt,30,120.0
Manhattan,Entire home/apt,30,143.0
Manhattan,Entire home/apt,30,181.0
Manhattan,Private room,30,90.0
Queens,Entire home/apt,30,149.0
Queens,Entire home/apt,30,89.0
Manhattan,Private room,30,180.0
Brooklyn,Private room,90,294.0
Manhattan,Private room,30,93.0
Manhattan,Private room,30,135.0
Manhattan,Entire home/apt,3,275.0
Manhattan,Private room,30,60.0
Queens,Private room,30,62.0
Bronx,Private room,30,89.0
Brooklyn,Entire home/apt,30,123.0
Manhattan,Entire home/apt,30,354.0
Brooklyn,Entire home/apt,30,250.0
Brooklyn,Private room,30,85.0
Manhattan,Private room,4,148.0
Brooklyn,Entire home/apt,31,200.0
Manhattan,Entire home/apt,60,155.0
Manhattan,Private room,30,544.0
Brooklyn,Entire home/apt,30,115.0
Manhattan,Private room,30,171.0
Brooklyn,Private room,1,120.0
Queens,Private room,30,74.0
Brooklyn,Entire home/apt,30,98.0
Queens,Private room,30,80.0
Manhattan,Entire home/apt,270,103.0
Manhattan,Entire home/apt,49,126.0
Brooklyn,Private room,30,90.0
Manhattan,Private room,30,85.0
Brooklyn,Private room,4,254.0
Manhattan,Entire home/apt,30,175.0
Manhattan,Entire home/apt,30,221.0
Manhattan,Entire home/apt,30,160.0
